Lab	UsedReads	BioSample	Library_Preps	Platform	Data_Category
LyRic	1447534	mouse-sim	dRNA	ONT	LO
LyRic	45889	WTC11	dRNA	ONT	LO
LyRic	736584	Mouse ES	R2C2	ONT	LO
LyRic	674451	H1-mix	R2C2	ONT	LO
LyRic	581773	WTC11	R2C2	ONT	LO
IsoTools	4303167	H1-mix	cDNA	PacBio	LO
IsoTools	9349165	human-simu	cDNA	PacBio	LO
IsoTools	5807156	WTC11	cDNA	PacBio	LO
IsoTools	6521789	Mouse ES	cDNA	PacBio	LO
IsoTools	18846018	mouse-sim	cDNA	PacBio	LO
StringTie2	3525855	Mouse ES	dRNA	ONT	LS
StringTie2	3280034	H1-mix	dRNA	ONT	LS
StringTie2	30000001	human-sim	dRNA	ONT	LS
StringTie2	20000001	mouse-sim	dRNA	ONT	LS
StringTie2	2704103	WTC11	dRNA	ONT	LS
Spectra	5129279	Mouse ES	cDNA	PacBio	LS
Spectra	4720551	H1-mix	cDNA	PacBio	LS
Spectra	9164813	human-sim	cDNA	PacBio	LS
Spectra	18399920	mouse-sim	cDNA	PacBio	LS
Spectra	5024827	WTC11	cDNA	PacBio	LS
TALON_LAPA	1534872	H1-mix	CapTrap	ONT	LO
TALON_LAPA	2810796	H1-mix	CapTrap	PacBio	LO
TALON_LAPA	1086942	H1-mix	cDNA	ONT	LO
TALON_LAPA	4277435	H1-mix	cDNA	PacBio	LO
TALON_LAPA	2544416	H1-mix	dRNA	ONT	LO
TALON_LAPA	1677747	H1-mix	R2C2	ONT	LO
TALON_LAPA	713066	human-sim	cDNA	ONT	LO
TALON_LAPA	3247327	human-sim	cDNA	PacBio	LO
TALON_LAPA	1137806	WTC11	CapTrap	ONT	LO
TALON_LAPA	2816798	WTC11	CapTrap	PacBio	LO
TALON_LAPA	929999	WTC11	cDNA	ONT	LO
TALON_LAPA	5830666	WTC11	cDNA	PacBio	LO
TALON_LAPA	2004309	WTC11	dRNA	ONT	LO
TALON_LAPA	1675267	WTC11	R2C2	ONT	LO
TALON_LAPA	1800827	Mouse ES	CapTrap	ONT	LO
TALON_LAPA	2478117	Mouse ES	CapTrap	PacBio	LO
TALON_LAPA	897579	Mouse ES	cDNA	ONT	LO
TALON_LAPA	6414964	Mouse ES	cDNA	PacBio	LO
TALON_LAPA	2712628	Mouse ES	dRNA	ONT	LO
TALON_LAPA	2787608	Mouse ES	R2C2	ONT	LO
TALON_LAPA	5855462	mouse-sim	cDNA	ONT	LO
TALON_LAPA	3817747	mouse-sim	dRNA	PacBio	LO
Iso_IB	55382562	H1-mix	cDNA	PacBio	LO
Iso_IB	126236814	human-sim	cDNA	PacBio	LO
Iso_IB	119747750	WTC11	cDNA	PacBio	LO
Iso_IB	123283103	Mouse ES	cDNA	PacBio	LO
Iso_IB	248088002	mouse-sim	cDNA	PacBio	LO
IsoQuant	58453722	Mouse ES	CapTrap	ONT	LO
IsoQuant	69432711	H1-mix	CapTrap	ONT	LO
IsoQuant	62413066	WTC11	CapTrap	ONT	LO
IsoQuant	5435220	Mouse ES	CapTrap	PacBio	LO
IsoQuant	6478550	H1-mix	CapTrap	PacBio	LO
IsoQuant	7033068	WTC11	CapTrap	PacBio	LO
IsoQuant	44800382	Mouse ES	cDNA	ONT	LO
IsoQuant	52539226	H1-mix	cDNA	ONT	LO
IsoQuant	38242564	human-sim	cDNA	ONT	LO
IsoQuant	51772931	WTC11	cDNA	ONT	LO
IsoQuant	8128468	Mouse ES	cDNA	PacBio	LO
IsoQuant	5723561	H1-mix	cDNA	PacBio	LO
IsoQuant	10313494	human-sim	cDNA	PacBio	LO
IsoQuant	20251159	mouse-sim	cDNA	PacBio	LO
IsoQuant	7864058	WTC11	cDNA	PacBio	LO
IsoQuant	4454926	Mouse ES	dRNA	ONT	LO
IsoQuant	4961299	H1-mix	dRNA	ONT	LO
IsoQuant	23062759	mouse-sim	dRNA	ONT	LO
IsoQuant	3659849	WTC11	dRNA	ONT	LO
IsoQuant	6125806	Mouse ES	R2C2	ONT	LO
IsoQuant	5397619	H1-mix	R2C2	ONT	LO
IsoQuant	5433934	WTC11	R2C2	ONT	LO
Mandalorion	9139971	Mouse ES	Freestyle	Freestyle	LO
Mandalorion	6711414	H1-mix	Freestyle	Freestyle	LO
Mandalorion	7321789	WTC11	Freestyle	Freestyle	LO
Mandalorion	5109735	Mouse ES	cDNA	PacBio	LO
Mandalorion	3354202	H1-mix	cDNA	PacBio	LO
Mandalorion	8571470	human-sim	cDNA	PacBio	LO
Mandalorion	17541157	mouse-sim	cDNA	PacBio	LO
Mandalorion	4036710	WTC11	cDNA	PacBio	LO
Mandalorion	3883125	Mouse ES	R2C2	ONT	LO
Mandalorion	3369822	H1-mix	R2C2	ONT	LO
Mandalorion	3280760	WTC11	R2C2	ONT	LO
FLAMES	153115779	Mouse ES	CapTrap	ONT	LO
FLAMES	146469666	H1-mix	CapTrap	ONT	LO
FLAMES	155742198	WTC11	CapTrap	ONT	LO
FLAMES	10631655	Mouse ES	CapTrap	PacBio	LO
FLAMES	11569018	H1-mix	CapTrap	PacBio	LO
FLAMES	13961068	WTC11	CapTrap	PacBio	LO
FLAMES	95947577	Mouse ES	cDNA	ONT	LO
FLAMES	112377714	H1-mix	cDNA	ONT	LO
FLAMES	109384983	WTC11	cDNA	ONT	LO
FLAMES	27258348	human-sim	cDNA	ONT	LO
FLAMES	7580156	Mouse ES	dRNA	ONT	LO
FLAMES	6990255	H1-mix	dRNA	ONT	LO
FLAMES	4672384	WTC11	dRNA	ONT	LO
	35034186	mouse-sim	dRNA	ONT	LO
